"Hardware manufacturing  [BS3325]","59.7","54.9","59.9","61.8","62.1"
"Spring and wire product manufacturing  [BS3326]","37.4","39.0","33.6","35.5","41.1"
"Machine shops, turned product, and screw, nut and bolt manufacturing  [BS3327]","45.8","45.8","48.1","47.6","45.6"
"Coating, engraving, heat treating and allied activities  [BS3328]","47.6","42.1","37.6","38.0","40.9"
"Cutlery, hand tools and other fabricated metal product manufacturing  [BS332A] 27","54.9","55.7","55.9","54.1","49.1"
"Machinery manufacturing  [BS333]","58.4","57.6","61.0","62.0","61.8"
"Agricultural, construction and mining machinery manufacturing  [BS3331]","59.2","57.6","63.5","65.3","65.1"
"Industrial, commercial and service industry machinery manufacturing  [BS333A] 28","65.0","63.5","64.4","70.1","69.4"
"Industrial machinery manufacturing  [BS3332]","53.8","57.6","62.0","68.7","65.4"
"Commercial and service industry machinery manufacturing  [BS3333]","78.6","70.1","67.0","71.4","67.6"
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing  [BS3334]","51.1","57.1","64.7","58.4","61.3"
"Metalworking machinery manufacturing  [BS3335]","48.1","51.6","54.2","54.3","54.4"
"Engine, turbine and power transmission equipment manufacturing  [BS3336]","71.5","69.7","71.3","66.0","69.9"
"Other general-purpose machinery manufacturing  [BS3339]","59.3","53.7","56.1","56.6","57.2"
"Computer and electronic product manufacturing  [BS334]","64.3","68.0","72.5","75.2","66.6"
"Computer and peripheral equipment manufacturing  [BS3341]","66.1","70.9","91.4","90.8","79.2"
"Communications equipment manufacturing  [BS3342]","70.2","65.7","72.5","89.4","66.9"
"Semiconductor and other electronic component manufacturing  [BS3344]","42.8","49.4","54.8","52.2","46.6"
"Other electronic product manufacturing  [BS334A] 29","78.5","83.2","84.6","85.1","82.1"
"Electrical equipment, appliance and component manufacturing  [BS335]","60.9","59.4","53.1","55.1","55.4"
"Electric lighting equipment manufacturing  [BS3351]","56.4","46.3","46.6","46.2","46.2"
"Household appliance manufacturing  [BS3352]","46.3","54.1","48.3","41.5","36.1"
"Electrical equipment manufacturing  [BS3353]","62.1","64.2","55.3","61.1","64.8"
"Other electrical equipment and component manufacturing  [BS3359]","63.5","61.9","55.3","56.1","53.4"
"Transportation equipment manufacturing  [BS336]","76.9","73.2","67.0","66.9","69.5"
"Motor vehicle manufacturing  [BS3361]","101.5","92.6","76.4","75.3","85.1"
"Automobile and light-duty motor vehicle manufacturing  [BS33611]","109.6","98.7","77.2","77.5","87.0"
"Heavy-duty truck manufacturing  [BS33612]","61.2","59.7","66.5","59.1","69.6"
"Motor vehicle body and trailer manufacturing  [BS3362]","37.1","40.6","39.0","40.6","39.7"
"Motor vehicle parts manufacturing  [BS3363]","60.1","60.5","53.6","55.7","59.6"
"Motor vehicle gasoline engine and engine parts manufacturing  [BS33631]","93.2","103.8","93.4","104.0","119.8"
"Motor vehicle electrical and electronic equipment manufacturing  [BS33632]","55.0","63.6","68.0","72.1","79.3"
"Motor vehicle steering and suspension components (except spring) manufacturing  [BS33633]","62.8","73.1","57.4","60.8","66.2"
"Motor vehicle brake system manufacturing  [BS33634]","45.3","52.4","54.0","53.8","60.8"
"Motor vehicle transmission and power train parts manufacturing  [BS33635]","71.8","74.0","67.6","69.9","70.9"
"Motor vehicle seating and interior trim manufacturing  [BS33636]","54.3","53.2","48.1","50.8","53.4"
"Motor vehicle metal stamping  [BS33637]","56.7","53.7","48.5","50.9","54.8"
"Other motor vehicle parts manufacturing  [BS33639]","46.8","45.2","37.3","35.8","37.3"
"Aerospace product and parts manufacturing  [BS3364]","88.7","76.3","78.1","72.6","76.5"
"Railroad rolling stock manufacturing  [BS3365]","48.1","56.1","65.8","75.4","65.3"
"Ship and boat building  [BS3366]","60.8","64.5","60.0","54.8","49.7"
"Other transportation equipment manufacturing  [BS3369]","123.2","128.8","109.4","119.3","112.1"
"Furniture and related product manufacturing  [BS337]","36.5","37.5","35.3","37.7","37.3"
"Household and institutional furniture and kitchen cabinet manufacturing  [BS3371]","30.5","32.8","31.2","33.7","32.4"
"Office furniture (including fixtures) manufacturing  [BS3372]","48.1","46.3","42.9","45.2","46.9"
"Other furniture-related product manufacturing  [BS3379]","42.0","45.9","45.1","42.9","40.7"
"Miscellaneous manufacturing  [BS339]","42.6","49.2","51.6","54.6","47.5"
"Medical equipment and supplies manufacturing  [BS3391]","52.4","55.9","55.0","58.5","53.9"
"Other miscellaneous manufacturing  [BS3399]","37.6","45.5","49.7","52.6","43.4"
"Service-producing businesses 30","52.7","57.6","54.8","54.6","54.0"
"Wholesale trade  [BS41]","69.5","78.1","76.9","75.0","72.2"
"Farm product wholesaler-distributors  [BS411]","72.0","80.9","69.8","63.5","73.2"
"Petroleum product wholesaler-distributors  [BS412]","182.3","170.9","162.7","165.8","158.5"
"Food, beverage and tobacco wholesaler-distributors  [BS413]","61.7","72.6","66.6","64.0","59.5"
"Personal and household goods wholesaler-distributors  [BS414]","80.7","96.8","100.7","105.2","107.5"
"Motor vehicle and parts wholesaler-distributors  [BS415]","85.4","89.6","93.9","92.4","91.5"
"Building material and supplies wholesaler-distributors  [BS416]","58.8","69.7","67.4","58.7","55.8"
"Machinery, equipment and supplies wholesaler-distributors  [BS417]","67.3","73.2","73.4","75.2","71.8"
"Miscellaneous wholesaler-distributors  [BS418]","66.7","77.7","73.8","68.3","61.7"
"Wholesale electronic markets, and agents and brokers  [BS419]","52.8","51.6","52.6","52.0","50.5"
"Retail trade  [BS4A] 31","33.0","35.7","35.6","35.3","35.6"
"Motor vehicle and parts dealers  [BS441]","41.1","43.6","44.2","43.5","44.5"
"Furniture and home furnishings stores  [BS442]","31.3","37.2","33.5","32.3","32.1"
"Electronics and appliance stores  [BS443]","32.4","37.0","34.5","34.7","34.9"
"Building material and garden equipment and supplies dealers  [BS444]","34.9","38.7","38.3","39.5","43.0"
"Food and beverage stores  [BS445]","26.9","28.3","27.7","26.9","27.5"
"Health and personal care stores  [BS446]","35.9","39.5","40.3","42.4","43.0"
"Gasoline stations  [BS447]","56.4","50.3","54.9","55.3","56.0"
"Clothing and clothing accessories stores  [BS448]","32.9","37.1","40.9","43.7","41.8"
"Sporting goods, hobby, book and music stores  [BS451]","28.3","30.2","34.2","35.0","31.8"
"General merchandise stores  [BS452]","32.7","35.3","34.6","30.8","29.9"
"Miscellaneous store retailers  [BS453]","33.4","40.0","35.5","35.2","34.2"
"Non-store retailers  [BS454]","20.5","26.6","24.9","24.1","23.0"
"Transportation and warehousing  [BS4B]","50.5","46.3","42.8","44.4","45.6"
"Air transportation  [BS481]","77.1","27.3","20.2","43.0","50.8"
"Rail transportation  [BS482]","123.9","122.3","121.2","125.8","112.0"
"Water transportation  [BS483]","58.7","56.6","54.4","58.0","50.1"
"Truck transportation  [BS484]","33.4","36.5","34.4","31.6","31.5"
"Transit, ground passenger and scenic and sightseeing transportation  [BS48Z] 32","38.7","21.8","18.8","25.7","30.1"
"Urban transit systems  [BS4851]","54.3","19.0","17.0","26.4","31.9"
"Taxi and limousine service  [BS4853]","16.4","15.8","15.1","17.7","19.0"
"Other transit and ground passenger transportation and scenic and sightseeing transportation  [BS48A] 33","40.3","44.0","36.8","34.7","34.2"
"Support activities for transportation  [BS488]","56.7","57.6","51.7","51.6","52.9"
"Pipeline transportation  [BS486]","496.3","544.8","541.5","615.1","579.3"
"Pipeline transportation of natural gas  [BS4862]","537.5","608.5","627.8","651.6","652.6"
"Crude oil and other pipeline transportation  [BS486A] 34","454.5","483.7","463.2","576.9","510.7"
"Postal service and couriers and messengers  [BS49A] 35","33.3","38.6","37.0","32.3","30.9"
"Postal service  [BS491]","39.5","42.4","40.4","39.7","39.3"
"Couriers and messengers  [BS492]","28.7","36.0","34.9","27.7","25.5"
"Warehousing and storage  [BS493]","34.8","37.6","35.5","35.8","35.1"
"Information and cultural industries  [BS51]","100.5","109.8","103.3","105.6","102.0"
"Publishing industries (except internet)  [BS511]","76.7","78.8","79.4","84.5","79.5"
"Newspaper publishers  [BS51111]","41.7","46.8","41.9","43.1","41.8"
"Periodical, book and directory publishers  [BS5111A] 36","59.6","66.0","64.5","63.4","60.4"
"Software publishers  [BS5112]","91.7","86.8","89.1","95.7","88.7"
"Motion picture and sound recording industries  [BS512]","31.6","34.6","32.4","31.9","31.4"
"Motion picture and video exhibition  [BS51213]","29.1","6.2","8.3","11.2","14.6"
"Motion picture and video industries (except exhibition)  [BS5121A] 37","30.9","35.6","32.7","32.9","31.8"
"Sound recording industries  [BS5122]","50.2","65.8","67.2","63.4","62.4"
"Broadcasting (except internet)  [BS515]","84.3","91.8","86.9","86.5","75.8"
"Radio and television broadcasting  [BS5151]","51.0","54.0","55.5","58.0","49.8"
"Pay and specialty television  [BS5152]","315.7","343.8","344.4","307.2","283.3"
"Telecommunications  [BS517]","167.8","176.9","169.2","174.9","167.4"
"Data processing, hosting, and related services  [BS518]","99.0","91.9","92.0","97.8","90.5"
"Other information services  [BS519]","61.5","76.4","63.0","68.4","66.0"
"Finance and insurance  [BS52]","84.4","90.2","88.8","93.0","89.8"
"Depository credit intermediation and monetary authorities  [BS52B] 38","103.0","107.7","104.7","108.7","104.5"
"Monetary authorities - central bank  [BS521]","105.7","99.2","98.9","95.7","96.3"
"Local credit unions  [BS52213]","54.3","60.6","62.4","68.2","63.1"
"Banking and other depository credit intermediation  [BS5221A] 39","109.5","113.8","109.9","113.4","109.4"
"Non-depository credit intermediation  [BS5222]","80.7","87.5","81.9","79.9","80.5"
"Activities related to credit intermediation  [BS5223]","52.8","55.7","49.2","51.0","52.2"
"Insurance carriers and related activities  [BS524]","81.6","84.2","87.4","92.3","89.0"
"Insurance carriers  [BS5241]","110.6","108.3","114.2","118.8","113.5"
"Agencies, brokerages and other insurance related activities  [BS5242]","54.3","59.1","59.7","64.7","62.9"
"Financial investment services, funds and other financial vehicles  [BS52A] 40","55.7","64.8","64.8","70.6","67.9"
"Real estate, rental and leasing  [BS53] 41","146.9","182.9","168.1","160.1","159.1"
"Real estate  [BS531]","163.9","206.8","187.7","176.7","177.2"
"Lessors of real estate  [BS5311]","340.5","421.3","389.9","390.6","386.9"
"Offices of real estate agents and brokers and activities related to real estate  [BS531A] 42","49.7","67.3","68.7","48.9","44.3"
"Rental and leasing services  [BS532]","87.0","97.4","89.9","93.2","93.2"
"Automotive equipment rental and leasing  [BS5321]","97.9","99.8","89.4","97.7","105.5"
"Rental and leasing services (except automotive equipment)  [BS532A] 43","82.3","96.8","90.8","92.3","89.2"
"Lessors of non-financial intangible assets (except copyrighted works)  [BS533]","126.0","135.4","140.9","153.7","151.6"
"Professional, scientific and technical services  [BS54]","58.2","61.6","56.4","59.0","58.2"
"Legal, accounting and related services  [BS541A] 44","61.4","66.6","60.2","62.6","60.6"
"Legal services  [BS5411]","77.9","83.3","76.5","76.7","72.7"
"Accounting, tax preparation, bookkeeping and payroll services  [BS5412]","50.1","55.1","49.2","53.1","52.6"
"Architectural, engineering and related services  [BS5413]","57.6","64.9","58.6","61.4","60.1"
"Other professional, scientific and technical services including scientific research and development  [BS541B] 45","54.4","56.6","53.5","53.8","53.2"
"Specialized design services  [BS5414]","24.2","25.6","22.8","23.8","23.2"
"Management, scientific and technical consulting services  [BS5416]","60.4","61.6","57.8","57.0","56.3"
"Scientific research and development services  [BS5417]","62.0","66.4","62.8","65.8","68.0"
"Other professional, scientific and technical services  [BS5419]","52.8","53.5","52.0","51.3","49.1"
"Computer systems design and related services  [BS5415]","61.0","62.6","56.8","62.0","61.7"
"Advertising, public relations, and related services  [BS5418]","50.8","47.3","43.8","45.3","46.0"
"Holding companies  [BS551113]","52.3","53.0","36.1","32.3","21.0"
"Administrative and support, waste management and remediation services  [BS56]","38.3","38.1","36.2","36.1","36.2"
"Administrative and support services  [BS561]","35.7","35.8","34.1","33.8","33.9"
"Office administrative services  [BS5611]","59.6","58.1","56.8","60.9","60.8"
"Employment services  [BS5613]","31.8","30.5","28.1","28.5","29.2"
"Business support services  [BS5614]","37.8","36.3","34.8","37.0","36.5"
"Travel arrangement and reservation services  [BS5615]","41.7","34.0","34.4","37.4","36.3"
"Investigation and security services  [BS5616]","25.4","26.4","25.9","25.4","25.1"
"Services to buildings and dwellings  [BS5617]","24.3","28.7","27.6","25.4","26.0"
"Facilities and other support services  [BS561A] 46","87.4","83.0","83.2","83.4","77.8"
"Waste management and remediation services  [BS562]","75.3","68.1","63.5","67.1","66.9"
"Educational services  [BS61]","26.9","34.4","33.2","35.0","33.7"
"Private educational services  [BS611A] 47","26.9","34.4","33.2","35.0","33.7"
"Health care and social assistance  [BS62]","51.1","53.7","48.5","50.2","48.7"
"Health care  [BS62X] 48","57.6","61.0","55.1","56.7","55.2"
"Ambulatory health care services  [BS621]","64.7","68.4","60.7","62.5","60.7"
"Offices of physicians  [BS6211]","110.9","117.1","103.0","102.0","99.4"
"Offices of dentists  [BS6212]","60.2","57.1","51.9","54.5","53.6"
"Miscellaneous ambulatory health care services  [BS621A] 49","35.2","39.0","35.6","37.4","36.1"
"Nursing and residential care facilities  [BS623]","34.7","38.5","35.9","37.0","36.2"
"Social assistance  [BS624]","22.9","19.7","18.6","19.6","19.1"
"Arts, entertainment and recreation  [BS71]","33.6","31.0","29.2","33.1","34.9"
"Performing arts, spectator sports and related industries, and heritage institutions  [BS71A] 50","33.0","25.6","23.7","27.4","29.8"
"Amusement, gambling and recreation industries  [BS713]","34.0","34.7","32.9","37.3","38.6"
"Gambling industries  [BS7132]","39.2","51.1","56.1","60.3","60.6"
"Amusement and recreation industries  [BS713A] 51","31.9","29.2","25.6","29.1","30.2"
"Accommodation and food services  [BS72]","24.7","24.9","24.0","24.9","25.3"
"Accommodation services  [BS721]","43.6","49.2","49.8","49.9","45.4"
"Traveller accommodation  [BS7211]","42.7","46.9","47.7","47.5","43.2"
"RV (recreational vehicle) parks, recreational camps, and rooming and boarding houses  [BS721A] 52","51.1","61.8","58.7","61.4","57.6"
"Food services and drinking places  [BS722]","20.9","20.5","19.7","20.4","21.3"
"Other private services  [BS81] 53","27.5","31.0","31.7","30.0","29.3"
"Repair and maintenance  [BS811]","34.0","38.0","36.5","36.9","35.1"
"Automotive repair and maintenance  [BS8111]","31.8","35.0","34.2","36.6","34.7"
"Repair and maintenance (except automotive)  [BS811A] 54","37.1","42.6","40.1","37.4","35.7"
"Personal services and private households  [BS81A] 55","21.3","23.8","26.6","23.9","23.8"
"Personal and laundry services  [BS812]","24.2","27.3","26.9","25.3","25.2"
"Funeral services  [BS8122]","48.9","65.6","59.4","65.7","65.4"
"Dry cleaning and laundry services  [BS8123]","29.2","30.8","33.9","31.9","31.6"
"Personal care services and other personal services  [BS812A] 56","21.3","22.9","22.7","22.5","22.4"
"Private households  [BS814]","16.1","17.8","24.6","19.2","19.2"
"Professional and similar organizations  [BS813B] 57","33.3","34.4","34.0","34.8","33.6"
"Business sector industries, excluding farms 58","59.2","64.6","61.0","60.4","59.1"
"Business sector industries, excluding private households 59","59.4","64.7","61.0","60.7","59.4"
"Service-producing businesses, excluding private households 60","53.1","58.0","55.0","55.0","54.3"
"Industrial production 61","93.8","99.0","95.7","95.6","91.9"
"Non-durable manufacturing industries 62","77.5","82.2","82.9","82.2","75.7"
"Durable manufacturing industries 63","62.4","63.6","57.9","60.4","63.6"
"Energy sector 64","256.4","283.5","269.3","263.0","248.2"
"Information and communication sector 65","86.2","87.6","82.3","86.2","92.2"
"Information and communication technology, manufacturing 66","56.2","59.4","67.1","70.9","61.5"
"Information and communication technology, services 67","88.0","89.2","83.1","86.9","93.9"
"Finance and insurance, and holding companies  [BS5B] 68","82.5","88.6","86.5","90.8","87.3"
"Non-business sector industries 69","79.3","81.9","80.2","79.5","79.3"
"Non-profit institutions serving households  [NP]","204.4","234.5","224.6","215.0","212.7"
"Non-profit institutions  [NP0]","204.4","234.5","224.6","215.0","212.7"
"Non-profit education institutions  [NP6100]","37.6","43.7","43.6","43.1","43.2"
"Ambulatory health care services  [NP6210]","34.4","37.0","36.1","35.4","34.7"
"Non-profit welfare organizations  [NP6240]","26.9","29.5","28.4","28.6","28.5"
"Non-profit arts, entertainment and recreation  [NP7100]","24.4","29.5","29.5","30.2","32.3"
"Grant-making, civic, and professional and similar organizations  [NP813A]","32.4","35.3","36.5","35.3","35.0"
"Religious organizations  [NP8131]","28.0","31.1","31.3","30.7","31.2"
"Other non-profit institutions serving households  [NPA000]","1,852.4","2,094.0","1,954.5","1,896.4","1,883.3"
"Government sector  [GS00]","59.1","59.5","58.7","58.3","58.2"
"Government educational services  [GS610]","59.4","60.3","58.6","58.9","58.9"
"Elementary and secondary schools  [GS611100] 70","52.9","53.6","51.9","52.6","52.1"
"Community colleges and C.E.G.E.P.s  [GS611200] 71","55.9","58.5","56.3","57.0","58.6"
"Universities  [GS611300]","74.6","73.9","73.3","72.5","72.7"
"Other educational services  [GS611A00] 72","75.2","73.7","77.9","77.1","79.7"
"Government health services  [GS620] 73","42.6","42.7","42.0","41.2","41.0"
"Hospitals  [GS622000] 74","46.9","46.9","46.3","45.4","44.9"
"Nursing and residential care facilities  [GS623000]","29.5","29.9","29.1","28.4","28.7"
"Federal government services  [GS911]","79.3","81.3","80.6","81.6","82.9"
"Federal government services (excluding defence)  [GS911A00]","86.6","88.4","86.3","86.9","87.9"
"Defence services  [GS911100] 75","64.2","66.0","67.6","67.8","69.3"
"Provincial and territorial government services  [GS912] 76","78.9","79.8","79.6","79.9","80.1"
"Local, municipal and aboriginal government services  [GS91B] 77","62.1","62.3","62.7","61.8","61.2"
"Municipal government services  [GS913000]","67.6","68.2","69.0","67.5","66.3"
"Aboriginal government services  [GS914000]","31.7","32.2","31.5","32.3","33.4"


"Table Corrections:"
Date,Note
"2021-05-27","On May 27, 2021, corrections were mainly made to the compensation of employees series (including its related measures)  for the industries at a North American Industry Classification System (NAICS) 2-, 3-, 4-, 5-, and 6-digit level of aggregation for the year 2020. The related measures are total compensation for all jobs, total compensation per job, total compensation per hour worked, employee's compensation per hour worked unit labour cost, unit labour cost in US dollars, and labour share. Corrections were also made to growth rates for these variables in the goods-producing businesses and the service-producing businesses. Territorial and provincial estimates for the total economy, business sector and non-business sector, estimates for labour productivity and the 5 other related variables (including hours worked and real value added) at the aggregate and industry levels, as well as data for years prior to 2020 were not affected."
