"REF_DATE","GEO","DGUID","Labour productivity and related measures","Industry","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","54.0","","","","1"
"2013","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","55.1","","","","1"
"2014","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","57.1","","","","1"
"2015","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","57.1","","","","1"
"2016","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","57.5","","","","1"
"2017","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","58.5","","","","1"
"2018","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","58.7","","","","1"
"2019","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","59.0","","","","1"
"2020","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","64.4","","","","1"
"2021","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","60.8","","","","1"
"2022","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","60.4","","","","1"
"2023","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","59.1","","","","1"
"1997","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","55.2","","","","1"
"1998","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","57.0","","","","1"
"1999","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","60.2","","","","1"
"2000","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","63.3","","","","1"
"2001","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","63.6","","","","1"
"2002","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","64.8","","","","1"
"2003","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","65.0","","","","1"
"2004","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","65.6","","","","1"
"2005","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","66.5","","","","1"
"2006","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","66.8","","","","1"
"2007","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","66.4","","","","1"
"2008","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","66.1","","","","1"
"2009","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","64.9","","","","1"
"2010","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","66.6","","","","1"
"2011","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","68.0","","","","1"
"2012","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","67.3","","","","1"
"2013","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","69.1","","","","1"
"2014","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","72.6","","","","1"
"2015","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","72.9","","","","1"
"2016","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","74.1","","","","1"
"2017","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","74.8","","","","1"
"2018","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","75.2","","","","1"
"2019","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","74.7","","","","1"
"2020","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","80.7","","","","1"
"2021","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","74.9","","","","1"
"2022","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","74.1","","","","1"
"2023","Canada","2016A000011124","Labour productivity","Goods-producing businesses","Chained (2017) dollars per hour","446","units","0","v111384114","1.7.3","71.1","","","","1"
"1997","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","23.4","","","","1"
"1998","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","24.6","","","","1"
"1999","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","27.8","","","","1"
"2000","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","30.9","","","","1"
"2001","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","33.1","","","","1"
"2002","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","31.4","","","","1"
"2003","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","33.0","","","","1"
"2004","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","35.5","","","","1"
"2005","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","36.4","","","","1"
"2006","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","36.0","","","","1"
"2007","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","32.0","","","","1"
"2008","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","35.9","","","","1"
"2009","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","34.9","","","","1"
"2010","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","36.8","","","","1"
"2011","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","37.7","","","","1"
"2012","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","38.2","","","","1"
"2013","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","43.0","","","","1"
"2014","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","47.5","","","","1"
"2015","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","49.7","","","","1"
"2016","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","51.3","","","","1"
"2017","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","53.0","","","","1"
"2018","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","54.0","","","","1"
"2019","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","53.9","","","","1"
"2020","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","57.9","","","","1"
"2021","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","51.9","","","","1"
"2022","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","59.7","","","","1"
"2023","Canada","2016A000011124","Labour productivity","Agriculture, forestry, fishing and hunting [BS11]","Chained (2017) dollars per hour","446","units","0","v111384115","1.7.4","58.5","","","","1"
"1997","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","20.7","","","","1"
"1998","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","22.0","","","","1"
"1999","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","25.9","","","","1"
"2000","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","28.7","","","","1"
"2001","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","30.1","","","","1"
"2002","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","27.9","","","","1"
"2003","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","30.0","","","","1"
"2004","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","32.6","","","","1"
"2005","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","33.7","","","","1"
"2006","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","32.8","","","","1"
"2007","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","27.6","","","","1"
"2008","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","32.4","","","","1"
"2009","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","31.8","","","","1"
"2010","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","32.5","","","","1"
"2011","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","33.2","","","","1"
"2012","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","33.7","","","","1"
"2013","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","39.2","","","","1"
"2014","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","43.8","","","","1"
"2015","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","46.9","","","","1"
"2016","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","49.7","","","","1"
"2017","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","51.8","","","","1"
"2018","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","52.9","","","","1"
"2019","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","53.6","","","","1"
"2020","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","57.8","","","","1"
"2021","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","51.4","","","","1"
"2022","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","61.7","","","","1"
"2023","Canada","2016A000011124","Labour productivity","Crop and animal production [BS11A]","Chained (2017) dollars per hour","446","units","0","v111384116","1.7.5","60.1","","","","1"
"1997","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","33.7","","","","1"
"1998","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","36.3","","","","1"
"1999","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","50.8","","","","1"
"2000","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","58.3","","","","1"
"2001","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","55.2","","","","1"
"2002","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","41.0","","","","1"
"2003","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","48.5","","","","1"
"2004","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","58.2","","","","1"
"2005","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","65.4","","","","1"
"2006","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","60.0","","","","1"
"2007","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","40.5","","","","1"
"2008","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","47.2","","","","1"
"2009","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","46.3","","","","1"
"2010","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","41.8","","","","1"
"2011","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","50.3","","","","1"
"2012","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","47.3","","","","1"
"2013","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","58.2","","","","1"
"2014","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","68.8","","","","1"
"2015","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","72.6","","","","1"
"2016","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","76.6","","","","1"
"2017","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","81.2","","","","1"
"2018","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","79.9","","","","1"
"2019","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","77.8","","","","1"
"2020","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","81.8","","","","1"
"2021","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","70.1","","","","1"
"2022","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","86.0","","","","1"
"2023","Canada","2016A000011124","Labour productivity","Crop production [BS111]","Chained (2017) dollars per hour","446","units","0","v111384117","1.7.6","81.4","","","","1"
"1997","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","25.5","","","","1"
"1998","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","21.0","","","","1"
"1999","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","22.4","","","","1"
"2000","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","22.6","","","","1"
"2001","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","25.0","","","","1"
"2002","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","22.2","","","","1"
"2003","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","23.3","","","","1"
"2004","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","25.5","","","","1"
"2005","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","26.4","","","","1"
"2006","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","27.1","","","","1"
"2007","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","24.0","","","","1"
"2008","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","24.1","","","","1"
"2009","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","25.1","","","","1"
"2010","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","24.9","","","","1"
"2011","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","24.8","","","","1"
"2012","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","23.9","","","","1"
"2013","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","24.8","","","","1"
"2014","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","25.3","","","","1"
"2015","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","27.8","","","","1"
"2016","Canada","2016A000011124","Labour productivity","Greenhouse, nursery and floriculture production [BS1114]","Chained (2017) dollars per hour","446","units","0","v111384118","1.7.7","28.7","","","","1"
